Player,Country
TMK Mawoyo (ZIM),WORLD
RC Motz (NZ),NZ
S Mushtaq Ali (INDIA),INDIA
RWV Robins (ENG),ENGLAND
JC Watkins (SA),SA
CS Baugh (WI),WI
SM Curran (ENG),ENGLAND
PM Pollock (SA),SA
JT Ikin (ENG),ENGLAND
RJ Harris (AUS),AUS
RE Foster (ENG),ENGLAND
DA Murray (WI),WI
AG Steel (ENG),ENGLAND
BAG Murray (NZ),NZ
TJE Andrews (AUS),AUS
Adnan Akmal (PAK),PAK
RG Barlow (ENG),ENGLAND
HR Lance (SA),SA
V Sibanda (ZIM),WORLD
MD Craig (NZ),NZ
K Rabada (SA),SA
MHN Walker (AUS),AUS
Alok Kapali (BDESH),WORLD
Aftab Ahmed (BDESH),WORLD
MP Donnelly (NZ),NZ
PA Gibb (ENG),ENGLAND
MLC Foster (WI),WI
Umar Gul (PAK),PAK
MN Waller (ZIM),WORLD
A Jadeja (INDIA),INDIA
RS Bopara (ENG),ENGLAND
TT Bresnan (ENG),ENGLAND
AD Hales (ENG),ENGLAND
CE McLeod (AUS),AUS
RS Morton (WI),WI
AB Agarkar (INDIA),INDIA
SB Doull (NZ),NZ
E Chigumbura (ZIM),WORLD
GL Jessop (ENG),ENGLAND
DAJ Bracewell (NZ),NZ
KA Maharaj (SA),SA
Aamer Malik (PAK),PAK
EDAS McMorris (WI),WI
GO Rabone (NZ),NZ
CV Grimmett (AUS),AUS
MF Maharoof (SL),SL
GP Wickramasinghe (SL),SL
SJE Loxton (AUS),AUS
N Wagner (NZ),NZ
SC Williams (ZIM),WORLD
AG Chipperfield (AUS),AUS
B Kumar (INDIA),INDIA
D Lloyd (ENG),ENGLAND
S Amarnath (INDIA),INDIA
M Dillon (WI),WI
Iqbal Qasim (PAK),PAK
JM Vince (ENG),ENGLAND
CB Llewellyn (SA),SA
Shoaib Akhtar (PAK),PAK
WA Hadlee (NZ),NZ
ML Apte (INDIA),INDIA
AG Cremer (ZIM),WORLD
AU Rashid (ENG),ENGLAND
LPC Silva (SL),SL
RA Harper (WI),WI
RO Collinge (NZ),NZ
PJ Moor (ZIM),WORLD
PL van der Merwe (SA),SA
NC Johnson (ZIM),WORLD
HH Pandya (INDIA),INDIA
S Ranatunga (SL),SL
Aminul Islam (BDESH),WORLD
CC Griffith (WI),WI
DR Hadlee (NZ),NZ
LJ Tancred (SA),SA
MD Stoneman (ENG),ENGLAND
CL Vincent (SA),SA
CS Serjeant (AUS),AUS
GR Dilley (ENG),ENGLAND
Shahadat Hossain (BDESH),WORLD
